建案編號,建案名稱,縣市	行政區,,地址,總戶數,樓層,產品類型,使用分區/用途,門牌號,格局,其他用途名稱,成交時間,基地面積,建蔽率,容積率,車位配比,停車規劃,充電樁,管理費,結構工程,土地分區,標籤,朝向規劃,建案介紹,公共設施,備註,交通,周邊環境
128903,維特魯威,桃園市,龜山區,桃園市龜山區文桃路489號,1幢，1棟，123戶住家，3戶店面，10戶一般事務所,地上28層，地下5層,新成屋,住宅大樓,文桃路489號,二房 27~30' '三房 33.5~41' '四房 46、47',住商用, 隨時交屋 ,586.6 坪,33.4%,37.57%,1 1.03,平面式140個,無充電設備,'60' 元/坪/月,RC鋼筋混凝土結構,中心商業區,['明星學區'  '重劃區'  '景觀宅'  '制震宅'],朝北、朝南、朝東,櫻花三機廚具、TOTO衛浴,['接待大廳'  '交誼廳'  '閱覽室'  '健身房'  '兒童遊戲區'],"A7生活圈百坪三角窗店面，面臨文桃路上，坪數109-222坪、1-3樓，各有獨立電梯以及3樓都有大露台

「維特魯威」位於桃園市龜山區文桃路、牛角坡路交叉口，由法邑建設有限公司投資興建，捷堡營造工程有限公司營造，拓璞聯合建築師事務所建築設計，基地面積586.6坪、建蔽率37.57%。

樓層規劃地上28層、地下5層建築，共有123戶住家，3戶店面，10戶一般事務所，格局坪數規劃二房(27~30坪) 、三房(33.5~41坪) 、四房(46、47坪)。規劃140個平面式車位，結構採RC鋼筋混凝土，建材有櫻花三機廚具、TOTO衛浴、EDS制震壁。

周邊環境，車程約5分鐘可至環球購物中心，車程約8分鐘可至林口三井OUTLET，生活採買方面，車程約5分鐘可達全聯福利中心(林口復興店)，車程約9分鐘可至龜山黃昏市場。

交通方面，車程約2分鐘可至機場捷運A7體育大學站，亦有國道一號林口交流道可利用。",'捷運系統'  '機場捷運A7體育大學站、A8長庚醫院站 '  '高速公路'  '國道一號林口交流道 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '文青雙語中小學(預定地)、國立體育大學 '  '超商/賣場'  '全聯福利中心 '  '傳統市場'  '林口市場、龜山黃昏市場 '  '公共建設'  '機場捷運A7體育大學站 '  '熱門商圈'  '長庚商圈、環球購物中心、林口三井OUTLET '  '醫療機構'  '林口長庚醫院 '  '政府機構'  '林口行政園區 '  '其他配套'  '中華郵政物流園區(預定地)、樂善科技園區、華亞科技園區'
135853,仕偉第一綻,桃園市,龜山區,桃園市龜山區迴龍段77地號,1幢，2棟，105戶住家，3戶店面，2戶辦公室,地上6、14層，地下2層,預售屋,住宅大樓,迴龍段77地號,二房 19' '三房 24~35',住商用,2027年上半年,525.25 坪,36.18~36.23%,36.5%,1 0.45,平面式49個,有充電設備（含預留）, 待定 ,RC鋼筋混凝土結構,住宅區,['近捷運'  '制震宅'  '低首付'],朝西、朝西南,廚具 櫻花，衛浴 TOTO，其他 Alfa Safe柱中柱,['接待大廳'  '中庭花園'  '空中花園'  '交誼廳'  '閱覽室'  '信箱區'  '曬被區'],"「仕偉第一綻」位於桃園市龜山區迴龍段77地號，由仕偉建設股份有限公司投資建設，威騰營造股份有限公司營造，林峰池建築師事務所建築設計，基地面積525.25坪，建蔽率36.5%，公設比36.18~36.23%。樓層規劃為2棟地上6、14層、地下2層建築，共有105戶住家、2戶辦公室、3戶店面。格局坪數規劃二房(19坪)、三房(24~35坪)。

車位規劃平面式49個。公共設施有接待大廳、中庭花園、空中花園、交誼廳、閱覽室、信箱區、曬被區。建材規劃廚具 櫻花，衛浴 TOTO，其他 Alfa Safe柱中柱。

周邊環境，車程約4分鐘可達學區迴龍國中小，車程約5分鐘可達龍鳳公園。

生活採買方面，車程約3分鐘可達全聯新莊龍安店，距家樂福超市新莊龍安店車程約4分鐘，車程約1分鐘可達美廉社新莊中正店。

交通方面，步行約2分鐘可達捷運迴龍站。", '捷運系統'  '迴龍站 '  '高速公路'     '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式'    ,'學區'  '迴龍國小、迴龍國中 '  '超商/賣場'  '全聯、家樂福超市、美廉社 '  '傳統市場'  '18號菜攤 '  '公共建設'  '龍鳳公園 '  '熱門商圈'  '樹林興仁夜市商圈 '  '醫療機構'  '衛生福利部樂生療養院 '  '政府機構'  '龍鳳郵局 '  '其他配套'  '龍華科技大學'
132639,百川博硯,桃園市,龜山區,桃園市龜山區大嶺段33地號,1幢，4棟，173戶住家，6戶店面,地上6、7、15層，地下3層,預售屋,住宅大樓,大嶺段33地號,二房 28~29' '三房 34~38' '四房 47~48' '店面 25~66',住商用,2029年04月,1488.94 坪,34%,41.79%,1 1.03,平面式184個,有充電設備（含預留）,'75' 元/坪/月,RC鋼筋混凝土結構,第一種住宅區,['明星學區'  '重劃區'  '近公園'  '景觀宅'  '制震宅'],朝西南、朝東北,1樓、1樓夾層Alfa Safe耐震系統工法、RC構造+ Alfa Safe柱中柱,['接待大廳'  '交誼廳'  '閱覽室'  '健身房'  '親子遊戲區'  '瑜伽教室'  '廚藝教室'  '信箱區'],"「百川博硯」位於桃園市龜山區大嶺段33地號，由百川建設開發股份有限公司投資興建，長佑營造有限公司營造，拓璞聯合建築師事務所建築設計，基地面積1488.94坪、建蔽率41.79％、公設比34%。

樓層規劃為4棟地上6、7、15層、地下3層建築，共有173戶住家，6戶店面，格局坪數規劃為二房(28~29坪)、三房(34~38坪)、四房(47~48坪)、店面(25~66坪)。車位共規劃有184個平面車位，結構採RC鋼筋混凝土。

周邊環境，車程約1分鐘即可抵達學區自強國小，距龜山國中約3分鐘車程。公共建設方面，車程約2分鐘可至中正公園。生活採買方面，車程約2分鐘可達寶雅龜山萬壽店 ，距全聯福利中心龜山大同店約3分鐘車程。", '捷運系統'  '棕線BRH '  '高速公路'     '快速道路'     '高鐵系統'     '台鐵系統'  '桃園火車站 '  '其他方式'    , '學區'  '自強國小、龜山國中、壽山高中、銘傳大學 '  '超商/賣場'  '全聯、家樂福超市、寶雅 '  '傳統市場'  '龜山市場 '  '公共建設'  '中正公園、桃園市立圖書館山德分館 '  '熱門商圈'  '中興商圈、站前商圈 '  '醫療機構'     '政府機構'  '龜山區公所、龜山郵局、龜山戶政事務所 '  '其他配套'    
132625,富堡菁英滙,桃園市,龜山區,桃園市龜山區文化一路、樂善二路,1幢，1棟，135戶住家，13戶店面，110戶事務所,地上28層，地下5層,預售屋,住宅大樓,文化一路、樂善二路,一房 17.43' '二房 24' '三房 33' '四房 37',住商用,2027年第四季度,904.35 坪,34.9%,58.67%,1 0.83,平面式213個,有充電設備（含預留）, 待定 ,RC鋼筋混凝土結構,中心商業區,['近捷運'  '明星學區'  '重劃區'  '景觀宅'],朝北、朝南、朝西、朝東,林內倒T式除油煙機、林內IH爐、林內雙口瓦斯爐、TOTO衛浴、TOTO五合一多功能暖風機、德國BWT倍世淨水、電動升降曬衣架、Arpha八合一電子門鎖，M1,['接待大廳'  '交誼廳'],"「富堡菁英滙」位於桃園市龜山區文化一路、樂善二路，由富堡開發建設有限公司投資興建，聯發營造有限公司營造，廖錦盈建築師事務所建築設計，基地面積904.35坪、建蔽率58.67％、公設比34.9%。

樓層規劃為1棟地上28層、地下5層建築，共有135戶住家，13戶店面，110戶事務所，格局坪數規劃為一房(17.43坪)、二房(24坪)、三房(33坪)、四房(37坪)。

車位共規劃有213個平面車位，公共設施有接待大廳、交誼廳，結構採RC鋼筋混凝土，建材有TOTO衛浴。

周邊環境，車程約3分鐘即可抵達學區樂善國小，距大崗國中約4分鐘車程。公共建設方面，車程約4分鐘可至樂善公園。生活採買方面，車程約2分鐘可達家樂福超市龜山文青店，距全聯福利中心龜山長慶店約5分鐘車程。",'捷運系統'  'A7體育大學站、A8長庚醫院站 '  '高速公路'  '國道一號(龜山交流道) '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '文青中小學、樂善國小、大崗國中、長庚大學、國立體院 '  '超商/賣場'  '全聯、家樂福超市 '  '傳統市場'  '龜山黃昏市場 '  '公共建設'  '樂善公園、水源地公園 '  '熱門商圈'  '桃園捷運A8商圈、林口三井outlet '  '醫療機構'  '長庚醫院 '  '政府機構'  '郵局 '  '其他配套'  '華亞科技園區'
125726,和發大境,桃園市,龜山區,桃園市龜山區長慶三街81號(全聯旁),3幢，8棟，280戶住家，12戶店面,地上15層，地下4層,新成屋,住宅大樓,長慶三街81號(全聯旁),二房 26~28' '三房 39~40' '四房 44' '2+1房 33',住商用, 隨時交屋 ,1586.57 坪,33%,41.19%,1 1.09,平面式318個,, 待定 ,RC鋼筋混凝土結構,第四種住宅區,['近捷運'  '重劃區'  '近公園'  '景觀宅'  '制震宅'  '低首付'],朝西北、朝西南、朝東北、朝東南,RC構造+ Alfa Safe柱中柱+重點樓層Alfa Safe系統牆、林內三機廚具、TOTO衛浴,['接待大廳'  '中庭花園'  '空中花園'  '會議室'  '閱覽室'  '健身房'  '兒童遊戲區'],"「和發大境」位於桃園市龜山區長慶三街，由和發建設股份有限公司投資興建，國城營造有限公司營造，拓璞聯合建築師事務所(聶玉璞)建築設計，基地面積1586.57坪、公設比33％。

樓層規劃為8棟地上15層、地下4層建築，共有280戶住家、12戶店面，格局坪數規劃二房(26~28坪) 、三房(39~40坪) 、四房(44坪) 、2+1房(33坪)。共規劃318個平面式車位，結構採RC鋼筋混凝土。

周邊環境，步行7分鐘即可抵達學區樂善國小，距大崗國中約4分鐘車程，步行5分鐘可至樂善公園，生活採買方面，步行4分鐘可達頂好Wellcome超市，距環球購物中心約5分鐘車程。

交通方面，車程4分鐘可至機場捷運A7體育大學站、A8長庚醫院站，亦有國道一號(林口交流道)可利用。",'捷運系統'  '機場捷運A7體育大學站、A8長庚醫院站 '  '高速公路'  '國道一號(林口交流道) '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式', '學區'  '樂善國小、大崗國中 '  '超商/賣場'  '頂好Wellcome超市 '  '傳統市場'     '公共建設'  '龜山運動中心、樂善公園 '  '熱門商圈'  '長庚商圈、環球購物中心 '  '醫療機構'  '長庚醫療園區 '  '政府機構'     '其他配套'  '郵政物流、樂善科技園區' 
134257,大華昇耕,桃園市,龜山區,桃園市龜山區文化二路、樂善二路口,1幢，2棟，202戶住家，5戶店面,地上15層，地下5層,預售屋,住宅大樓,文化二路、樂善二路口,一房 15' '二房 18~26' '三房 26~39' '四房 40',住商用, 已經完工 ,673.19 坪,33.8%,52.2%,1 0.74,平面式153個,有充電設備（含預留）, 待定 ,RC鋼筋混凝土結構,第五種住宅區,['重劃區'],朝東北,廚具：櫻花，衛浴：INAX，五金：INAX,['接待大廳'  '健身房'  '瑜伽教室'  '信箱區'],"「大華昇耕」位於桃園市龜山區文化二路、樂善二路口，由大華建設股份有限公司投資興建，華鑑營造股份有限公司營造，拓璞聯合建築師事務所建築設計。基地面積673.19坪、建蔽率52.2％，樓層規劃為1棟地上15層、地下5層建築，共有202戶住家、5戶店面。格局坪數規劃一房(15坪)、二房(18~26坪)、三房(26~39坪)、四房(40坪)。

車位規劃有153個平面車位，公共設施規畫有接待大廳、健身房、瑜伽教室、信箱區。

周邊環境，車程約4分鐘即可抵達學區樂善國小、大崗國中，距華亞科技園區、大坪頂公園車程約5分鐘。車程約7分鐘可至林口長庚醫院，距三井Outlet約10分鐘車程。

生活採買方面，距PJ Traveler生鮮選物車程約1分鐘，車程約4分鐘可達全聯福利中心龜山文化店、全聯福利中心龜山文德店，距龜山黃昏市場車程約7分鐘。

交通方面，車程約3分鐘可達A7體育大學站，距A8長庚醫院站車程約7分鐘，另有國道1號可利用。",'捷運系統'  'A7體育大學站、A8長庚醫院站 '  '高速公路'  '國道1號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式', '學區'  '樂善國小、大崗國中 '  '超商/賣場'  '全聯 '  '傳統市場'  '龜山黃昏市場 '  '公共建設'  '大坪頂公園 '  '熱門商圈'  '長庚商區、三井Outlet '  '醫療機構'  '林口長庚醫院 '  '政府機構'     '其他配套'  '華亞科技園區' 
132512,富來舞綻,桃園市,龜山區,桃園市龜山區樂善二路和樂善三路口,1幢，2棟，112戶住家，7戶店面,地上15層，地下4層,預售屋,住宅大樓,樂善二路和樂善三路口,二房 24~25' '三房 29、36~38',住商用, 已經完工 ,541.25 坪,33.5%,45%,1 1,平面式59個、機械式60個,有充電設備（含預留）,'60' 元/坪/月,RC鋼筋混凝土結構,第五種住宅區,['近捷運'  '明星學區'  '重劃區'  '近公園'  '景觀宅'  '低首付'],朝西南,廚具：林內，衛浴：TOTO，五金：鍾佳、VAF定流系統、BWT全棟式淨水器、全室超耐磨降噪木地板、3M廚下型淨水器、錦鋐氣密窗。,['接待大廳'  '中庭花園'  '交誼廳'  '健身房'  '親子遊戲區'  '信箱區'],"「富來舞綻」
訂簽58萬起，工程零付款
搶進A7市中心景觀首席，VAF捷運景觀宅2~3房
繁華轉個彎，擁抱好森活
住商不混合，簡單更難得
電動車友善社區，電動車車主很省心
3A級國門城市共榮圈・唯一全能適居宅 
A9媒體坎城・A8醫療生技・A7科技矽谷

✔捷運出站900米・空橋串流效率生活
✔高標建材VAF室內潔淨氣流・健康升級
✔舒適採光零暗房・4拼雙梯黃金梯戶比
✔高坪效，稀有景觀戶，尺度超寬裕

建案由富來建設股份有限公司投資興建，萬代福營造有限公司營造，張建鴻建築師事務所建築設計，基地面積541.25坪、建蔽率45%。
樓層規劃地上15層，地下4層建築，共有112戶住家，7戶店面，格局坪數規劃二房(24~25坪)、三房(36~38坪)、三房(29坪)產品。
車位方面，規劃59個平面式車位、60個機械式車位。",'捷運系統'  'A7體育大學站 '  '高速公路'  '國道1號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '樂善國小、大崗國中 '  '超商/賣場'  '家樂福、全聯 '  '傳統市場'     '公共建設'  '林口綜合體育館 '  '熱門商圈'  'A8.A9商圈、空橋商圈 '  '醫療機構'  '長庚紀念醫院 '  '政府機構'     '其他配套'  '長庚大學圖書館'
130733,興富發鉑悦,桃園市,龜山區,桃園市龜山區文化一路與文桃路口(善捷段47地號),1幢，3棟，1016戶住家，33戶店面，66戶事務所,地上35層，地下6層,預售屋,住宅大樓,文化一路與文桃路口(善捷段47地號),二房 24' '三房 39',住商用,2026年下半年,2580.79 坪,34.2%,69.32%,1 1,平面式1115個,有充電設備（含預留）,'80' 元/坪/月,SC/SS純鋼骨結構，SRC鋼骨鋼筋混凝土結構，RC鋼筋混凝土結構,中心商業區,['近捷運'  '明星學區'  '重劃區'  '景觀宅'],朝北,"廚具：SAKURA，衛浴：KARAT，五金：PAFFONI，磁磚：冠軍磁磚
",['接待大廳'  '空中花園'  '交誼廳'  '閱覽室'  '游泳池'  '瑜伽教室'  '信箱區'  'Lounge Bar'],"「興富發鉑悦」位於桃園市龜山區文化一路與文桃路口(善捷段47地號)，由興富發建設股份有限公司投資興建，齊裕營造股份有限公司營造，廖蓮輝建築師事務所建築設計，基地面積2580.79坪、建蔽率69.32%、公設比34.2%。

樓層規劃地上35層，地下6層建築，共有1016戶住家，33戶店面，66戶事務所，格局坪數規劃二房(24坪) 、 三房(39坪)。規劃1115個平面式車位，建材有廚具：SAKURA，衛浴：KARAT，五金：PAFFONI，磁磚：冠軍磁磚。

周邊環境，步行約11分鐘即可抵達學區樂善國小，車程約5~6分鐘可至大崗國中，車程約8分鐘可至林口三井outlet。

生活採買方面，車程約5分鐘可達全聯福利中心(龜山長慶店)，車程約6分鐘可至家樂福超市(桃園復興一店)。

交通方面，步行約10分鐘可至A7體育大學站，亦有國道一號可利用。",'捷運系統'  'A7體育大學站 '  '高速公路'  '國道一號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式', '學區'  '樂善國小、大崗國中、文青國中小學 '  '超商/賣場'  '全聯福利中心、家樂福 '  '傳統市場'     '公共建設'     '熱門商圈'  '長庚商圈、林口三井outlet '  '醫療機構'  '長庚醫院 '  '政府機構'  '郵政物流中心 '  '其他配套'    
130667,鴻廣絵青,桃園市,龜山區,桃園市龜山區長慶一街、長慶一街45巷,2幢，4棟，224戶住家，8戶店面,地上15層，地下4層,新成屋,住宅大樓,長慶一街、長慶一街45巷,二房 22~26' '三房 29~34',住商用, 隨時交屋 ,1058.58 坪,33.5%,42.21%,1 1,平面式232個,,'60' 元/坪/月,RC鋼筋混凝土結構,第四種住宅區,['明星學區'  '重劃區'  '景觀宅'  '制震宅'],朝東北,RC構造+ Alfa Safe柱中柱+重點樓層Alfa Safe系統牆、SHARP電梯空氣清淨機、BWT全棟式淨水、錦鋐氣密窗、四合一電子鎖、櫻花廚具、義大利CASSINA衛浴、Panasonic多合一暖風機、Panasonic免治馬桶　,['接待大廳'  '中庭花園'  '交誼廳'  '會議室'  '閱覽室'  '健身房'  '瑜伽教室'  '廚藝教室'  '信箱區'],"【鴻廣絵青】A7 A8 雙捷 校園首席
千坪樹海莊園．Alfa Safe耐震工法．24-33坪

位於桃園市龜山區長慶一街、長慶一街45巷，基地面積1058.58坪、建蔽率42.21%、公設比33.5%，適當綠化退縮，創造友善居住環境，規劃地上15層，地下4層，規劃232個平面車位。

【坐擁雙捷核心 行走國際】
約4分鐘車行到A7，近取國道一號(龜山交流道)，串連北北桃生活圈；A8直達車，速享二站台北、一站出國，串連大林口生活圈，隨時輕鬆跨界！

【出門校園公園 千坪樹海】
約3分鐘步行，直達樂善國小、全聯，距大崗國中約5~6分鐘車程，近享3 000坪文德公園及長樂公園，日常散步、毛小孩放電的優質環境。

【三大智慧園區 菁英爭席】
華亞園區，亞太企總創造5000億產值；郵政園區，超越4000坪綠海生活；A7科技園區，高科技新貴居住首選，置產增值必買。

【戶戶舒適邊間 雙衛採光】
2房雙衛浴、雙採光，3房三面大採光，最好住的格局規劃，更引進Alfa Safe戴雲發耐震工法，首購換屋新指標，即刻預約未來，絵見幸福人生。",'捷運系統'  'A8長庚醫院站、A7體育大學站 '  '高速公路'  '國道一號(龜山交流道) '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '樂善國小、大崗國中 '  '超商/賣場'  '全聯福利中心 '  '傳統市場'     '公共建設'  '樂善公園 '  '熱門商圈'  '桃園捷運A8商圈，林口三井outlet '  '醫療機構'  '林口長庚醫院 '  '政府機構'     '其他配套'
128901,富堡大湖滙,桃園市,龜山區,桃園市龜山區文三一街、文三二街口,1幢，2棟，110戶住家，18戶店面,地上13層，地下2層,新成屋,住宅大樓,文三一街、文三二街口,二房 26.5~27.3' '店面 36~68',住商用, 隨時交屋 ,1103.52 坪,34.64%,48.89%,1 0.82,平面式105個,有充電設備（含預留）, 待定 ,RC鋼筋混凝土結構,第二種住宅區,['近捷運'  '近公園'  '景觀宅'],朝西北,廚具 林內三機、衛浴 TOTO、其他 敵銳裝甲玄關門、香氛建築、正面全石材,['接待大廳'  '中庭花園'  '咖啡交誼廳'],"「富堡大湖滙」位於桃園市龜山區文三一街、文三二街口，由富棠建設股份有限公司投資興建，廖錦盈建築師事務所建築設計，基地面積1103.52坪、建蔽率48.89％、公設比34.64%。

樓層規劃為2棟地上13層、地下2層建築，共有110戶住家，18戶店面，格局坪數規劃為二房(26.5~27.3坪) 、 三房(36.11坪)。

車位共規劃有105個平面車位(含1個裝卸位)，公共設施有接待大廳、中庭花園、咖啡交誼廳，結構採RC鋼筋混凝土，建材有廚具 林內三機、衛浴 TOTO、其他 敵銳裝甲玄關門、香氛建築、正面全石材。

周邊環境，車程約3分鐘即可抵達學區大湖國小，距大崗國中約6分鐘車程。公共建設方面，車程約5分鐘可至龜山運動公園。生活採買方面，車程約5分鐘可達全聯福利中心龜山文化店，距龜山黃昏市場則約3分鐘車程。

交通方面，可利用捷運A8長庚醫院站、A9林口站、國道1號。",'捷運系統'  'A8長庚醫院站、A9林口站 '  '高速公路'  '國道1號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '大湖國小、大崗國中 '  '超商/賣場'  '全聯、Daiso大創百貨 '  '傳統市場'  '龜山黃昏市場 '  '公共建設'  '大湖紀念公園、龜山運動公園、市立圖書館 '  '熱門商圈'  'A8轉運站商圈、三井Outlet '  '醫療機構'  '林口長庚紀念醫院 '  '政府機構'  '郵政物流園區 '  '其他配套'  '華亞科技園區、樂善科技園區'
127139,文華天際,桃園市,龜山區,桃園市龜山區文化二路、華亞三路口,1幢，2棟，478戶住家，8戶店面,地上22層，地下4層,新成屋,住宅大樓,文化二路、華亞三路口,二房 24~28' '三房 28~39',住商用, 隨時交屋 ,1998.07 坪,32.5%,33.47%,1 1,平面式440個、機械式46個,, 待定 ,RC鋼筋混凝土結構,第五種住宅區,['近捷運'  '重劃區'  '近公園'  '景觀宅'],朝西北、朝西南、朝東北、朝東南,RC構造+ Alfa Safe柱中柱、5+5LOW-E玻璃、ALFASAFE耐震系統、BWT全棟淨水設備、戶戶標配淨化新風機、電動車預留套管、防水保固5年、櫻花全配廚具、TOTO衛浴,['接待大廳'  '中庭花園'  '交誼廳'  '閱覽室'  '視聽室'  '游泳池'  '健身房'  '兒童遊戲區'  'KTV'  '瑜伽教室'  '信箱區'  '烤箱區'  '棋藝室'  '練琴房'],"Check in奢華的完美規劃超高22層A7新視野，點亮城市天際線全台最美科學園區首排規劃極品15項全齡公設，構築家人相聚無憂假期夏季日光戶外泳池、置身城市星級旅店盡興探索都會享樂品味不只是居宅，傲視全A7實現精彩休旅生活體驗陽光泳池雙園景25-41坪合遠建設最強格局規劃完美體驗型風格飯店宅

「文華天際」位於桃園市桃園市龜山區文化二路、華亞三路口 ，由合遠建設股份有限公司投資興建，基地面積約1998.07坪(三期)、建蔽率33.47%、公設比32.5%，樓層規劃為2棟地上22層、地下4層建築，共478戶住家，8戶店面的住宅大樓，格局坪數規劃2~3房24~39坪，車位共規劃有平面式434個、機械式46個、殘障車位6個。

周邊環境，離華亞科技園區步行1分鐘，距離學區大崗國中步行約10分鐘、樂善國小步行10分鐘，距離商場全聯福利中心、林口outlet約5-10分鐘車程，未來將會新增UBike站，下樓即可使用。

交通方面距離國道一號林口交流道車程約6分鐘，距離A8捷運站約5分鐘車程，可連結桃園市、新北市、台北市，交通便捷。",'捷運系統'  '機場捷運A7體育大學站、A8長庚醫院 '  '高速公路'  '中山高速公路(國道一號)林口交流道 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式'  'UBIKE','學區'  '樂善國小、文欣國小、大崗國中 '  '超商/賣場'  '全聯、頂好Wellcome超市、7-11 '  '傳統市場'  '文德市場、龜山黃昏市場 '  '公共建設'     '熱門商圈'  '長庚商圈、環球購物中心、文青商圈 '  '醫療機構'  '長庚醫院 '  '政府機構'     '其他配套'  '華亞科學園區、樂善科學園區'
124447,櫻花澍,桃園市,龜山區,桃園市龜山區文青二路,1幢，2棟，106戶住家，2戶店面,地上14層，地下4層,新成屋,住宅大樓,文青二路,二房 25' '三房 35',住商用, 隨時交屋 ,602.07 坪,32%,38.14%,1 1,平面式108個,,'65' 元/坪/月,RC鋼筋混凝土結構,第三種住宅區,['近捷運'  '明星學區'  '景觀宅'],朝北、朝南,RC構造+ Alfa Safe柱中柱，櫻花全配廚具、INAX衛浴、INAX五金,['接待大廳'  '中庭花園'  '交誼廳'  '閱覽室'  '健身房'],"「櫻花澍」位於桃園市龜山區文青二路，由櫻花建設股份有限公司投資興建，國城營造有限公司營造，張建鴻建築師事務所建築設計，基地面積602.07坪、建蔽率38.14％，樓層規劃為2棟地上14層，地下4層建築，共有106戶住家，2戶店面，格局坪數規劃二房25坪、三房35坪。

共規劃108個平面式車位，結構採RC鋼筋混凝土，建材有櫻花全配廚具、INAX衛浴及INAX五金。公共設施有接待大廳、中庭花園、交誼廳、閱覽室及健身房。

學區方面，鄰近文青雙語國中小預定地，生活採買方面，步行4分鐘可達美廉社(龜山文青店)，車程10分鐘可至全聯福利中心(龜山興華店)。

交通方面，步行8分鐘可至機捷A7體育大學站，亦有國道一號林口交流道可利用。",'捷運系統'  '機捷A7體育大學站 '  '高速公路'  '國道一號林口交流道 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式'  '公車','學區'  '文青雙語國中小(預定) '  '超商/賣場'  '全聯、7-11、美廉社、全家、萊爾富 '  '傳統市場'  '近A8忠義路市場 '  '公共建設'  '水資源智慧公園 '  '熱門商圈'  '文青商圈、長庚商圈 '  '醫療機構'  '長庚醫療 '  '政府機構'     '其他配套'
122649,鴻築捷市達,桃園市,龜山區,桃園市龜山區善捷段182地號,1幢，4棟，771戶住家，31戶店面，1戶商場,地上29層，地下6層,預售屋,住宅大樓,善捷段182地號,二房 23~28' '三房 33~38',住商用, 已經完工 ,2067.24 坪,32%,49.53%,1 0.97,平面式778個,有充電設備（含預留）, 待定 ,RC鋼筋混凝土結構,中心商業區,['近捷運'  '重劃區'  '近公園'  '景觀宅'  '制震宅'],朝北、朝南、朝西、朝東,RC構造+ Alfa Safe柱中柱+重點樓層Alfa Safe系統牆。※雙制震宅  戴雲發結構技師所研發之Alfa Safe耐震系統+EDS制震壁 ※建物外觀 拓樸聯合建築師事務所-建物大門外牆採高級丁掛磚搭配石材、鋁格柵等設計 ※三協氣密窗(5+5LOW-E強化膠合玻璃) ※櫻花廚具 ※INAX奈米免治馬桶+panasonic四合一暖風機 ※FTTH光纖到家 ※防火鋼木門,['接待大廳'  '交誼廳'  '閱覽室'  '健身房'  '信箱區'  'Lounge Bar'],"「鴻築捷市達」位於桃園市龜山區善捷段182地號，由鴻築建設股份有限公司投資興建，基地面積2067.24坪、建蔽率49.53％、公設32%，樓層規劃為4棟地上29層，地下6層建築，共有771戶住家，31戶店面，1戶商場，格局坪數規劃二房23坪、28坪、 三房33坪、38坪。

車位共規劃有778個平面車位，休閒設施有接待大廳、交誼廳、閱覽室、健身房、信箱區、Lounge Bar，結構採RC鋼筋混凝土。
建材：
※雙制震宅  戴雲發結構技師所研發之Alfa Safe耐震系統+EDS制震壁 
※建物外觀 拓樸聯合建築師事務所-建物大門外牆採高級丁掛磚搭配石材、鋁格柵等設計 ※三協氣密窗(5+5LOW-E強化膠合玻璃) 
※櫻花廚具
※INAX奈米免治馬桶+panasonic四合一暖風機 
※FTTH光纖到家 
※防火鋼木門

周邊環境，車程4分鐘即可抵達學區樂善國小、大崗國中，距大湖紀念公園約10分鐘車程。

交通方面，步行2分鐘可至體育大學捷運站，亦有國道一號-林口交流道可利用。",'捷運系統'  'A7體育大學站 '  '高速公路'  '國道一號-林口交流道 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式'  '公車、UBike','學區'  '樂善國小、大崗國中、文青國中小學 '  '超商/賣場'  '全聯福利中心、頂好超市 '  '傳統市場'  '龜山黃昏市場 '  '公共建設'  '公有公園 '  '熱門商圈'  '長庚商圈、林口三井outlet '  '醫療機構'  '長庚醫療園區 '  '政府機構'  '郵政物流中心、林口行政園區 '  '其他配套'  'A7零污染產專園區'
